Generation,MaxFit
166,0.20371
167,0.20371
168,0.20371
169,0.20371
170,0.20371
171,0.20371
172,0.20371
173,0.20371
174,0.20371
175,0.20371
176,0.20371
177,0.20371
178,0.20371
179,0.20371
180,0.20371
181,0.20371
182,0.20371
183,0.20371
184,0.20371
185,0.20371
186,0.20371
187,0.20371
188,0.20371
189,0.20371
190,0.20371
191,0.20371
192,0.20371
193,0.20371
194,0.20371
195,0.20371
196,0.20371
197,0.20371
198,0.20371
199,0.20371
200,0.20371
201,0.20371
202,0.20371
203,0.20371
204,0.20371
205,0.20371
206,0.20371
207,0.20371
208,0.20371
209,0.20371
210,0.20371
211,0.20371
212,0.20371
213,0.20371
214,0.20371
215,0.20371
216,0.20371
217,0.20371
218,0.20371
219,0.20371
220,0.20371
221,0.20371
222,0.20371
223,0.20371
224,0.20371
225,0.20371
226,0.20371
227,0.20371
228,0.20371
229,0.20371
230,0.20371
231,0.20371
232,0.20371
233,0.20371
234,0.20371
235,0.20371
236,0.20371
237,0.20371
238,0.20371
239,0.20371
240,0.20371
241,0.20371
242,0.20371
243,0.20371
244,0.20371
245,0.20371
246,0.20371
247,0.20371
248,0.20371
249,0.20371
250,0.20371
251,0.20371
252,0.20371
253,0.20371
254,0.20371
255,0.20371
256,0.20371
257,0.20371
258,0.20371
259,0.20371
260,0.20371
261,0.20371
262,0.20371
263,0.20371
264,0.20371
265,0.20371
266,0.20371
267,0.20371
268,0.20371
269,0.20371
270,0.20371
271,0.20371
272,0.20371
273,0.20371
274,0.20371
275,0.20371
276,0.20371
277,0.20371
278,0.20371
279,0.20371
280,0.20371
281,0.20391
282,0.20391
283,0.20391
284,0.20391
285,0.20391
286,0.20391
287,0.20391
288,0.20391
289,0.20391
290,0.20391
291,0.20391
292,0.20391
293,0.20391
294,0.20391
295,0.20391
296,0.20391
297,0.20391
298,0.20391
299,0.20391
300,0.20391
301,0.20391
302,0.20391
303,0.20391
304,0.20391
305,0.20391
306,0.20391
307,0.20391
308,0.20391
309,0.20391
310,0.20391
311,0.20391
312,0.20391
313,0.20391
314,0.20536
315,0.20536
316,0.20536
317,0.20536
318,0.20536
319,0.20536
320,0.20536
321,0.20536
322,0.20536
323,0.20536
324,0.20536
325,0.20536
326,0.20536
327,0.20536
328,0.20536
329,0.20536
330,0.20536
331,0.20536
332,0.20536
333,0.20536
334,0.20536
335,0.20536
336,0.20536
337,0.20536
338,0.20536
339,0.20536
340,0.20536
341,0.20536
342,0.20536
343,0.20536
344,0.20536
345,0.20536
346,0.20536
347,0.20536
348,0.20536
349,0.20536
350,0.20536
351,0.20536
352,0.20536
353,0.20536
354,0.20536
